"INDEX","TARGET_WINS","TEAM_BATTING_H","TEAM_BATTING_2B","TEAM_BATTING_3B","TEAM_BATTING_HR","TEAM_BATTING_BB","TEAM_BATTING_SO","TEAM_BASERUN_SB","TEAM_BASERUN_CS","TEAM_PITCHING_H","TEAM_PITCHING_HR","TEAM_PITCHING_BB","TEAM_PITCHING_SO","TEAM_FIELDING_E","TEAM_FIELDING_DP","CS_MISSING","DP_MISSING","SO_BAT_MISSING","SO_PITCH_MISSING","SB_MISSING","TARGET_WINS_OUTLIER","TEAM_BATTING_H_OUTLIER","TEAM_BATTING_2B_OUTLIER","TEAM_BATTING_3B_OUTLIER","TEAM_BATTING_HR_OUTLIER","TEAM_BATTING_BB_OUTLIER","TEAM_BATTING_SO_OUTLIER","TEAM_BASERUN_SB_OUTLIER","TEAM_BASERUN_CS_OUTLIER","TEAM_BATTING_HBP_OUTLIER","TEAM_PITCHING_H_OUTLIER","TEAM_PITCHING_HR_OUTLIER","TEAM_PITCHING_BB_OUTLIER","TEAM_PITCHING_SO_OUTLIER","TEAM_FIELDING_E_OUTLIER","TEAM_FIELDING_DP_OUTLIER","TEAM_PITCHING_H_CAPPED","TEAM_FIELDING_E_CAPPED","SINGLES","TOTAL_BASES","SB_SUCCESS_RATE","WHIP_PROXY","ERROR_RATE","POWER_RATIO","HR_RATIO","BB_SO_RATIO","PITCHING_K_BB_RATIO","LOG_WHIP_PROXY","LOG_TEAM_PITCHING_H","LOG_TEAM_FIELDING_E","LOG_SINGLES","LOG_TEAM_FIELDING_E_CAPPED","LOG_ERROR_RATE","LOG_TEAM_PITCHING_H_CAPPED","LOG_TEAM_BATTING_H","OFFENSIVE_TIER","PITCHING_TIER","ERROR_BUCKET"
13,78,1305,179,27,82,374,888,60,39,1364,86,391,928,119,141,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1364,119,1017,1784,0.606060606060606,10.8333333333333,0.0678062678062678,0.220689655172414,0.0628352490421456,0.421171171171171,2.37340153452685,2.38262780066758,7.21817683840341,4.77912349311153,6.92461239604856,4.77912349311153,-2.69110064278844,7.21817683840341,7.17395831975679,"Low","Elite","Low_Errors"
15,68,1372,203,31,95,509,801,119,79,1372,95,509,801,147,150,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1372,147,1043,1922,0.601010101010101,11.6111111111111,0.0781499202551834,0.239795918367347,0.0692419825072886,0.635455680399501,1.57367387033399,2.45196249406865,7.22402480828583,4.99043258677874,6.94985645500077,4.99043258677874,-2.54912624252229,7.22402480828583,7.22402480828583,"Low","Elite","Medium_Errors"
16,72,1332,196,41,55,597,816,221,109,1340,55,601,821,185,165,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1340,185,1040,1775,0.66969696969697,11.9814814814815,0.095311695002576,0.219219219219219,0.0412912912912913,0.731617647058823,1.36605657237937,2.48336224793663,7.20042489294496,5.22035582507832,6.94697599213542,5.22035582507832,-2.35060275809069,7.20042489294496,7.19443685110033,"Low","Elite","Medium_Errors"
17,76,1265,210,23,63,534,812,126,80,1265,63,534,812,150,139,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1265,150,969,1710,0.611650485436893,11.1049382716049,0.0833796553640912,0.23399209486166,0.049802371541502,0.657635467980296,1.52059925093633,2.40738989871815,7.14282740116162,5.01063529409626,6.87626461189077,5.01063529409626,-2.48435093985428,7.14282740116162,7.14282740116162,"Low","Elite","Medium_Errors"
18,74,1380,233,40,131,542,880,159,89,1380,131,542,880,147,137,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1380,147,976,2086,0.641129032258065,11.8641975308642,0.0764828303850156,0.292753623188406,0.0949275362318841,0.615909090909091,1.62361623616236,2.47352525429785,7.22983877815125,4.99043258677874,6.88346258641309,4.99043258677874,-2.5706890027515,7.22983877815125,7.22983877815125,"Low","Elite","Medium_Errors"
19,87,1417,226,28,108,539,682,86,69,1417,108,539,682,136,136,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1417,136,1055,2023,0.554838709677419,12.0740740740741,0.0695296523517382,0.255469301340861,0.0762173606210304,0.790322580645161,1.26530612244898,2.49106051536238,7.25629723969068,4.91265488573605,6.96129604591017,4.91265488573605,-2.66600196485871,7.25629723969068,7.25629723969068,"Medium","Elite","Low_Errors"
20,88,1563,242,43,164,589,843,100,53,1563,164,589,843,135,172,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1563,135,1114,2383,0.65359477124183,13.283950617284,0.0627323420074349,0.287268074216251,0.104926423544466,0.698695136417556,1.43123938879457,2.58655658604929,7.35436233042148,4.90527477843843,7.01571242048723,4.90527477843843,-2.76887814284325,7.35436233042148,7.35436233042148,"High","Average","Low_Errors"
21,66,1460,239,32,107,546,900,92,64,1478,108,553,911,136,146,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1478,136,1082,2084,0.58974358974359,12.537037037037,0.0669620876415559,0.258904109589041,0.0732876712328767,0.606666666666667,1.64737793851718,2.528687226348,7.29844510150815,4.91265488573605,6.98656645940643,4.91265488573605,-2.70362867584433,7.29844510150815,7.28619171470238,"Medium","Average","Low_Errors"
22,75,1390,197,24,143,579,841,65,49,2047,211,853,1239,149,177,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2047,149,1026,2064,0.570175438596491,17.9012345679012,0.0513793103448276,0.261870503597122,0.102877697841727,0.6884661117717,1.45252051582649,2.88486968074218,7.62413058566129,5.00394630594546,6.93342302573071,5.00394630594546,-2.96851971002911,7.62413058566129,7.23705902612474,"Medium","Poor","Medium_Errors"
23,93,1518,268,26,186,613,760,55,53,1518,186,613,760,106,171,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1518,106,1038,2396,0.509259259259259,13.1543209876543,0.0497419052088221,0.316205533596838,0.122529644268775,0.806578947368421,1.23980424143556,2.57675029686623,7.32514895795557,4.66343909411207,6.94505106372583,4.66343909411207,-3.00090753798655,7.32514895795557,7.32514895795557,"Medium","Average","Low_Errors"
24,70,1467,241,22,154,509,835,41,39,1467,154,509,835,154,190,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1467,154,1050,2214,0.5125,12.1975308641975,0.0779352226720648,0.284253578732106,0.104976141785958,0.609580838323353,1.64047151277014,2.50123354307543,7.29097477814298,5.03695260241363,6.95654544315157,5.03695260241363,-2.55187727589418,7.29097477814298,7.29097477814298,"Medium","Average","Medium_Errors"
25,81,1363,211,30,150,556,928,80,51,1363,150,556,928,128,170,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1363,128,972,2084,0.610687022900763,11.8456790123457,0.0667014069828035,0.286867204695525,0.110051357300073,0.599137931034483,1.66906474820144,2.47196316077532,7.21744343169653,4.85203026391962,6.87935580446044,4.85203026391962,-2.70752923208808,7.21744343169653,7.21744343169653,"Low","Elite","Low_Errors"
26,90,1364,215,31,153,648,902,106,51,1364,153,648,902,112,202,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1364,112,965,2100,0.67515923566879,12.4197530864198,0.0556660039761431,0.292521994134897,0.11217008797654,0.71840354767184,1.39197530864198,2.51928819598725,7.21817683840341,4.71849887129509,6.87212810133899,4.71849887129509,-2.88838565992454,7.21817683840341,7.21817683840341,"Low","Elite","Low_Errors"
27,92,1387,236,36,167,671,860,109,42,1387,167,671,860,107,156,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1387,107,948,2196,0.721854304635762,12.7037037037037,0.0519922254616132,0.316510454217736,0.120403749098774,0.780232558139535,1.28166915052161,2.54189358116161,7.23489842031483,4.67282883446191,6.85435450225502,4.67282883446191,-2.95666108193209,7.23489842031483,7.23489842031483,"Medium","Elite","Low_Errors"
28,75,1406,257,26,172,590,926,125,44,1406,172,590,926,117,162,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1406,117,951,2231,0.739644970414201,12.320987654321,0.0586172344689379,0.323613086770981,0.122332859174964,0.637149028077754,1.56949152542373,2.51130412163903,7.24850407237061,4.76217393479776,6.85751406254539,4.76217393479776,-2.83672652207365,7.24850407237061,7.24850407237061,"Medium","Elite","Low_Errors"
29,75,1458,258,31,124,469,819,86,52,1458,124,469,819,135,175,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1458,135,1045,2150,0.623188405797101,11.8950617283951,0.0700570835495589,0.283264746227709,0.0850480109739369,0.572649572649573,1.74626865671642,2.47612333318198,7.2848209125686,4.90527477843843,6.95177216439891,4.90527477843843,-2.65844488997594,7.2848209125686,7.2848209125686,"Medium","Average","Low_Errors"
30,91,1422,208,37,145,429,1011,89,40,1422,145,429,1011,96,173,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1422,96,1032,2139,0.689922480620155,11.4259259259259,0.0518638573743922,0.274261603375527,0.10196905766526,0.42433234421365,2.35664335664336,2.43588497734111,7.25981961036319,4.56434819146784,6.93925394604151,4.56434819146784,-2.95913312110566,7.25981961036319,7.25981961036319,"Medium","Average","Low_Errors"
31,80,1448,237,27,147,566,1000,69,43,1448,147,566,1000,140,186,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1448,140,1037,2180,0.616071428571429,12.4320987654321,0.0695134061569017,0.283839779005525,0.101519337016575,0.566,1.76678445229682,2.52028173804612,7.27793857294566,4.9416424226093,6.94408720822953,4.9416424226093,-2.6662356506692,7.27793857294566,7.27793857294566,"Medium","Average","Medium_Errors"
32,81,1396,245,29,115,448,928,94,56,1396,115,448,928,102,156,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1396,102,1007,2044,0.626666666666667,11.3827160493827,0.0553145336225597,0.27865329512894,0.082378223495702,0.482758620689655,2.07142857142857,2.43209606888416,7.24136628332232,4.62497281328427,6.91473089271856,4.62497281328427,-2.89471959083227,7.24136628332232,7.24136628332232,"Medium","Elite","Low_Errors"
33,72,1306,202,20,88,416,882,160,101,1306,88,416,882,134,172,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1306,134,996,1812,0.613026819923372,10.6296296296296,0.0778164924506388,0.237366003062787,0.0673813169984686,0.471655328798186,2.12019230769231,2.36364534975529,7.17472430983638,4.89783979995091,6.9037472575846,4.89783979995091,-2.55340188503676,7.17472430983638,7.17472430983638,"Low","Elite","Low_Errors"
34,71,1399,259,24,114,564,930,169,100,1399,114,564,930,120,161,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1399,120,1002,2048,0.628252788104089,12.1172839506173,0.0611309220580744,0.283774124374553,0.0814867762687634,0.606451612903226,1.64893617021277,2.49463285904408,7.24351297466548,4.78749174278205,6.90975328164481,4.78749174278205,-2.79473745149442,7.24351297466548,7.24351297466548,"Medium","Elite","Low_Errors"
35,66,1468,251,23,169,566,1007,92,76,2068,238,797,1419,107,155,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2068,107,1025,2272,0.547619047619048,17.6851851851852,0.037347294938918,0.301771117166213,0.115122615803815,0.562065541211519,1.78042659974906,2.87272729391646,7.63433723562832,4.67282883446191,6.93244789157251,4.67282883446191,-3.28749479468693,7.63433723562832,7.29165620917446,"Medium","Poor","Low_Errors"
36,87,1553,282,28,208,630,993,65,44,1735,232,704,1109,106,134,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1735,106,1035,2515,0.596330275229358,15.0555555555556,0.043460434604346,0.33354797166774,0.133934320669672,0.634441087613293,1.57528409090909,2.71174706298354,7.45876269238096,4.66343909411207,6.94215670569947,4.66343909411207,-3.13590430410385,7.45876269238096,7.34794382314869,"High","Poor","Low_Errors"
37,70,1581,258,24,193,530,980,53,39,1591,194,533,986,129,157,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1591,129,1106,2466,0.576086956521739,13.1111111111111,0.0607344632768362,0.300442757748261,0.122074636306135,0.540816326530612,1.84990619136961,2.57346004712945,7.37211802833779,4.85981240436167,7.00850518208228,4.85981240436167,-2.80124397800016,7.37211802833779,7.36581283720947,"High","Average","Low_Errors"
38,84,1531,279,25,161,617,953,126,72,1531,161,617,953,126,140,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1531,126,1066,2343,0.636363636363636,13.2592592592593,0.058659217877095,0.303723056825604,0.105160026126715,0.647429171038825,1.54457050243112,2.58469612039637,7.33367639565768,4.83628190695148,6.97166860472579,4.83628190695148,-2.83601054867728,7.33367639565768,7.33367639565768,"Medium","Average","Low_Errors"
39,85,1530,314,27,147,510,1028,93,45,1530,147,510,1028,106,146,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1530,106,1042,2339,0.673913043478261,12.5925925925926,0.0519607843137255,0.318954248366013,0.096078431372549,0.496108949416342,2.0156862745098,2.53310875160588,7.33302301438648,4.66343909411207,6.94889722231331,4.66343909411207,-2.9572659927262,7.33302301438648,7.33302301438648,"Medium","Average","Low_Errors"
40,70,1404,248,22,158,511,1022,71,45,1404,158,511,1022,106,156,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1404,106,976,2170,0.612068965517241,11.820987654321,0.0553524804177546,0.304843304843305,0.112535612535613,0.5,2,2.46987656638236,7.24708058458576,4.66343909411207,6.88346258641309,4.66343909411207,-2.89403380750268,7.24708058458576,7.24708058458576,"Medium","Elite","Low_Errors"
41,82,1574,309,34,236,608,1024,93,52,1574,236,608,1024,134,184,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1574,134,995,2659,0.641379310344828,13.4691358024691,0.0614115490375802,0.367852604828462,0.149936467598475,0.59375,1.68421052631579,2.60040083116063,7.36137542897735,4.89783979995091,6.90274273715859,4.89783979995091,-2.7901573664421,7.36137542897735,7.36137542897735,"High","Average","Low_Errors"
42,75,1447,275,26,158,494,1001,116,52,1447,158,494,1001,103,142,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1447,103,988,2248,0.69047619047619,11.9814814814815,0.0530654301906234,0.31720801658604,0.109191430545957,0.493506493506494,2.02631578947368,2.48336224793663,7.27724772663148,4.63472898822964,6.89568269774787,4.63472898822964,-2.93622959493937,7.27724772663148,7.27724772663148,"Medium","Average","Low_Errors"
43,99,1603,333,32,152,462,805,117,51,1603,152,462,805,87,151,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603,87,1086,2456,0.696428571428571,12.7469135802469,0.0421307506053269,0.32252027448534,0.0948222083593263,0.573913043478261,1.74242424242424,2.54528917016275,7.37963215260955,4.46590811865458,6.99025650049388,4.46590811865458,-3.16697738674055,7.37963215260955,7.37963215260955,"High","Average","Low_Errors"
44,77,1473,276,33,150,476,838,129,61,1473,150,476,838,105,138,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1473,105,1014,2265,0.678947368421053,12.0308641975309,0.0538737814263725,0.311608961303462,0.10183299389002,0.568019093078759,1.76050420168067,2.48747536427518,7.29505641646263,4.65396035015752,6.92165818415113,4.65396035015752,-2.92111134935004,7.29505641646263,7.29505641646263,"Medium","Average","Low_Errors"
45,92,1603,272,37,162,450,942,143,46,1603,162,450,942,90,126,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603,90,1132,2435,0.756613756613757,12.6728395061728,0.0438382854359474,0.293824079850281,0.101060511540861,0.477707006369427,2.09333333333333,2.53946108178655,7.37963215260955,4.49980967033027,7.03174125876313,4.49980967033027,-3.12724774668867,7.37963215260955,7.37963215260955,"High","Average","Low_Errors"
46,95,1520,278,30,147,447,848,161,57,1520,147,447,848,87,139,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1520,87,1065,2299,0.738532110091743,12.141975308642,0.0442297915607524,0.299342105263158,0.0967105263157895,0.527122641509434,1.89709172259508,2.49666848315667,7.32646561384032,4.46590811865458,6.97073007814353,4.46590811865458,-3.11835669973448,7.32646561384032,7.32646561384032,"Medium","Average","Low_Errors"
48,65,1353,235,46,159,489,1239,73,38,1353,159,489,1239,100,125,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1353,100,913,2157,0.657657657657658,11.3703703703704,0.0542888165038002,0.32520325203252,0.117516629711752,0.394673123486683,2.53374233128834,2.43101088158287,7.21007962817079,4.60517018598809,6.81673588059497,4.60517018598809,-2.91343703082716,7.21007962817079,7.21007962817079,"Low","Elite","Low_Errors"
49,100,1566,289,46,216,588,1045,137,39,1566,216,588,1045,104,129,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1566,104,1015,2595,0.778409090909091,13.2962962962963,0.0482822655524605,0.351851851851852,0.137931034482759,0.562679425837321,1.77721088435374,2.58748552248395,7.35627987655075,4.64439089914137,6.92264389147589,4.64439089914137,-3.03069095857496,7.35627987655075,7.35627987655075,"High","Average","Low_Errors"
